cve,target,tp,tn,fp,fn,failed,succeed,failed_versions
CVE-2013-0338,6,3,0,3,0,0,3,
CVE-2013-1969,4,0,1,0,3,0,1,
CVE-2015-7498,6,3,0,3,0,0,3,
CVE-2015-7500,6,3,0,3,0,0,3,
CVE-2015-7941,4,3,0,1,0,0,3,
CVE-2015-8241,6,3,0,3,0,0,3,
CVE-2016-1762,6,0,3,0,3,0,3,
CVE-2016-1837,6,3,0,3,0,0,3,
CVE-2016-4658,6,3,3,0,0,0,6,
CVE-2017-5130,6,3,0,3,0,0,3,
CVE-2022-23308,6,2,0,3,0,1,2,2.10.0
CVE-2022-29824,6,0,3,0,0,3,3,2.10.0;2.10.1;2.10.2
CVE-2022-40303,6,0,0,0,0,6,0,2.10.0;2.10.1;2.10.2;2.10.4;2.11.0;2.11.1
CVE-2016-1836,6,0,0,0,0,6,0,2.9.2;2.9.2-rc2;2.9.3;2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2017-16931,6,0,0,0,0,6,0,2.9.2;2.9.3;2.9.4;2.9.5;2.9.5-rc1;2.9.5-rc2
