project,cve,funcname,succeed,tp,tn,fp,fn,target,failed_versions,false_positive,false_negative
freetype,CVE-2010-2497,gray_render_cubic,0,0,0,0,0,6,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,,
freetype,CVE-2010-3855,ft_var_readpackedpoints,3,3,0,3,0,6,,2.4.3;2.4.2;2.4.1,
freetype,CVE-2014-9746,t1_parse_font_matrix,5,3,2,1,0,6,,2.5.3,
freetype,CVE-2014-9746,t42_parse_font_matrix,3,3,0,1,0,6,2.5.2;2.5.1,2.5.3,
freetype,CVE-2014-9670,pcf_get_encodings,0,0,0,0,0,6,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,,
freetype,CVE-2014-9669,tt_cmap12_validate,3,3,0,3,0,6,,2.5.3;2.5.2;2.5.1,
freetype,CVE-2014-9662,cf2_builder_cubeTo,6,3,3,0,0,6,,,
freetype,CVE-2014-9662,cf2_builder_lineTo,6,3,3,0,0,6,,,
freetype,CVE-2014-9674,Mac_Read_POST_Resource,0,0,0,0,0,6,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,,
freetype,CVE-2015-9382,ps_parser_skip_PS_token,3,3,0,3,0,6,,2.5.5;2.5.4;2.5.3,
freetype,CVE-2015-9381,T1_Get_Private_Dict,0,0,0,0,0,6,2.5.5;2.5.4;2.5.3;2.6.1;2.6.2;2.6.3,,
freetype,CVE-2017-7864,tt_size_reset,6,3,3,0,0,6,,,
