cve,target,tp,tn,fp,fn,failed,succeed,failed_versions
CVE-2017-8395,4,3,1,0,0,0,4,
CVE-2017-8396,4,3,1,0,0,0,4,
CVE-2017-9954,4,0,1,0,3,0,1,
CVE-2017-13710,4,3,1,0,0,0,4,
CVE-2017-14129,4,3,0,1,0,0,3,
CVE-2017-12448,6,3,3,0,0,0,6,
CVE-2017-15024,4,2,0,1,0,1,2,2.31
CVE-2017-15020,4,3,0,1,0,0,3,
CVE-2017-15023,4,3,1,0,0,0,4,
CVE-2017-14933,4,3,1,0,0,0,4,
CVE-2017-15938,4,1,1,0,0,2,2,2.31;2.31.1
CVE-2017-15939,4,3,0,1,0,0,3,
CVE-2017-15996,4,3,1,0,0,0,4,
CVE-2017-16831,4,3,0,1,0,0,3,
CVE-2017-17080,4,3,1,0,0,0,4,
CVE-2018-7208,4,3,0,1,0,0,3,
CVE-2018-6543,4,3,1,0,0,0,4,
CVE-2018-6759,4,3,1,0,0,0,4,
CVE-2018-10372,4,3,1,0,0,0,4,
CVE-2018-10373,4,3,1,0,0,0,4,
CVE-2018-8945,4,3,0,1,0,0,3,
CVE-2018-18607,4,3,1,0,0,0,4,
CVE-2018-20671,6,3,3,0,0,0,6,
CVE-2021-20294,5,3,2,0,0,0,5,
CVE-2021-45078,6,3,3,0,0,0,6,
CVE-2023-25586,4,3,0,1,0,0,3,
CVE-2022-48063,6,3,3,0,0,0,6,
CVE-2022-48065,6,3,0,3,0,0,3,
