cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2012-5134,4,6,3,1,2,0,,,2.8.0;2.8.0-rc2,
CVE-2013-0338,0,0,0,0,0,0,,,,
CVE-2013-0339,0,0,0,0,0,0,,,,
CVE-2013-1969,0,0,0,0,0,0,,,,
CVE-2014-3660,0,0,0,0,0,0,,,,
CVE-2015-5312,0,0,0,0,0,0,,,,
CVE-2015-7497,6,6,3,3,0,0,,,,
CVE-2015-7498,0,0,0,0,0,0,,,,
CVE-2015-7499,0,0,0,0,0,0,,,,
CVE-2015-7500,6,6,3,3,0,0,,,,
CVE-2015-7941,1,4,0,1,0,3,,,,2.9.3;2.9.4;2.9.5-rc1
CVE-2015-8241,0,0,0,0,0,0,,,,
CVE-2015-8242,6,6,3,3,0,0,,,,
CVE-2015-8317,0,0,0,0,0,0,,,,
CVE-2015-8710,6,6,3,3,0,0,,,,
CVE-2016-1762,6,6,3,3,0,0,,,,
CVE-2016-1833,0,0,0,0,0,0,,,,
CVE-2016-1834,0,0,0,0,0,0,,,,
CVE-2016-1836,3,6,0,3,0,3,,,,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2016-1837,0,0,0,0,0,0,,,,
CVE-2016-1838,5,6,3,2,1,0,,,2.9.4,
CVE-2016-1840,6,6,3,3,0,0,,,,
CVE-2016-4449,0,0,0,0,0,0,,,,
CVE-2016-4483,3,6,0,3,0,3,,,,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2016-4658,0,0,0,0,0,0,,,,
CVE-2017-16931,6,6,3,3,0,0,,,,
CVE-2017-16932,0,0,0,0,0,0,,,,
CVE-2017-5130,0,0,0,0,0,0,,,,
CVE-2017-7375,0,0,0,0,0,0,,,,
CVE-2018-14404,3,6,3,0,3,0,,,2.9.7;2.9.7-rc1;2.9.8,
CVE-2019-19956,0,0,0,0,0,0,,,,
CVE-2020-7595,4,4,3,1,0,0,,,,
CVE-2022-23308,0,0,0,0,0,0,,,,
CVE-2022-29824,0,0,0,0,0,0,,,,
CVE-2022-40303,3,6,0,3,0,3,,,,2.10.4;2.11.0;2.11.1
CVE-2022-40304,4,6,1,3,0,2,,,,2.11.0;2.11.1
CVE-2023-28484,6,6,3,3,0,0,,,,
