cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2017-2629,3,6,0,3,0,3,,,,7.53.0;7.53.1;7.54.0
CVE-2013-1944,4,4,3,1,0,0,,,,
CVE-2018-16840,6,6,3,3,0,0,,,,
CVE-2018-1000301,6,6,3,3,0,0,,,,
CVE-2016-9586,0,0,0,0,0,0,,,,
CVE-2017-9502,6,6,3,3,0,0,,,,
CVE-2017-7407,4,4,3,1,0,0,,,,
CVE-2018-16839,6,6,3,3,0,0,,,,
CVE-2018-1000300,6,6,3,3,0,0,,,,
CVE-2023-46219,0,0,0,0,0,0,,,,
CVE-2016-8621,6,6,3,3,0,0,,,,
CVE-2018-0500,5,6,2,3,0,1,,,,7.62.0
CVE-2013-0249,3,3,3,0,0,0,,,,
CVE-2014-0015,6,6,3,3,0,0,,,,
CVE-2020-8169,3,6,0,3,0,3,,,,7.71.0;7.71.1;7.72.0
CVE-2017-8817,6,6,3,3,0,0,,,,
CVE-2021-22898,6,6,3,3,0,0,,,,
CVE-2019-5482,6,6,3,3,0,0,,,,
CVE-2016-8624,6,6,3,3,0,0,,,,
CVE-2016-8618,6,6,3,3,0,0,,,,
CVE-2023-46218,6,6,3,3,0,0,,,,
CVE-2016-8617,3,6,0,3,0,3,,,,7.51.0;7.52.0;7.52.1
CVE-2017-1000101,5,6,3,2,1,0,,,7.55.0,
CVE-2016-9594,4,4,3,1,0,0,,,,
CVE-2018-1000122,6,6,3,3,0,0,,,,
CVE-2018-16842,6,6,3,3,0,0,,,,
CVE-2022-42916,4,6,1,3,0,2,,,,7.87.0;7.88.0
CVE-2022-42915,4,6,1,3,0,2,,,,7.87.0;7.88.0
CVE-2020-8284,3,6,0,3,0,3,,,,7.74.0;7.75.0;7.76.0
CVE-2020-8177,4,6,1,3,0,2,,,,7.71.1;7.72.0
CVE-2019-5435,0,0,0,0,0,0,,,,
CVE-2018-1000007,3,6,0,3,0,3,,,,7.58.0;7.59.0;7.60.0
CVE-2018-1000120,3,6,0,3,0,3,,,,7.59.0;7.60.0;7.61.0
CVE-2017-8818,3,5,1,2,0,2,,,,7.58.0;7.59.0
CVE-2017-8816,6,6,3,3,0,0,,,,
CVE-2016-8625,0,0,0,0,0,0,,,,
CVE-2016-8623,0,0,0,0,0,0,,,,
