project,cve,funcname,succeed,tp,tn,fp,fn,target,failed_versions,false_positive,false_negative
curl,CVE-2017-2629,allocate_conn,0,0,0,0,0,6,7.52.1;7.52.0;7.51.0;7.53.0;7.53.1;7.54.0,,
curl,CVE-2013-1944,tailmatch,0,0,0,0,0,4,7.29.0;7.30.0;7.31.0;7.32.0,,
curl,CVE-2018-1000301,Curl_http_readwrite_headers,3,3,0,3,0,6,,7.59.0;7.58.0;7.57.0,
curl,CVE-2017-9502,parseurlandfillconn,0,0,0,0,0,6,7.54.0;7.53.1;7.53.0;7.54.1;7.55.0;7.55.1,,
curl,CVE-2018-16839,Curl_auth_create_plain_message,3,3,0,3,0,6,,7.61.1;7.61.0;7.60.0,
curl,CVE-2023-46219,Curl_fopen,3,0,3,0,3,6,,,8.5.0;8.6.0;8.7.1
curl,CVE-2016-8621,parsedate,0,0,0,0,0,6,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,
curl,CVE-2018-0500,Curl_smtp_escape_eob,3,3,0,3,0,6,,7.60.0;7.59.0;7.58.0,
curl,CVE-2014-0015,ConnectionExists,0,0,0,0,0,6,7.34.0;7.33.0;7.32.0;7.35.0;7.36.0;7.37.0,,
curl,CVE-2017-8817,setcharset,0,0,0,0,0,6,7.56.1;7.56.0;7.55.1;7.57.0;7.58.0;7.59.0,,
curl,CVE-2019-5482,tftp_connect,3,3,0,3,0,6,,7.65.3;7.65.2;7.65.1,
curl,CVE-2016-8624,parseurlandfillconn,0,0,0,0,0,6,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,
curl,CVE-2016-8618,alloc_addbyter,3,3,0,3,0,6,,7.50.3;7.50.2;7.50.1,
curl,CVE-2016-9594,randit,0,0,0,0,0,6,7.52.0;7.51.0;7.50.3;7.52.1;7.53.0;7.53.1,,
curl,CVE-2020-8284,Curl_init_userdefined,3,3,0,3,0,6,,7.73.0;7.72.0;7.71.1,
curl,CVE-2020-8177,getparameter,3,3,0,3,0,6,,7.70.0;7.69.1;7.69.0,
curl,CVE-2017-8818,allocate_conn,0,0,0,0,0,5,7.56.1;7.56.0;7.57.0;7.58.0;7.59.0,,
curl,CVE-2017-8816,Curl_ntlm_core_mk_ntlmv2_hash,6,3,3,0,0,6,,,
curl,CVE-2016-8625,curl_version,3,3,0,3,0,6,,7.50.3;7.50.2;7.50.1,
curl,CVE-2016-8625,curl_version_info,6,3,3,0,0,6,,,
curl,CVE-2016-8625,fix_hostname,0,0,0,0,0,6,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,
