project,cve,funcname,succeed,tp,tn,fp,fn,target,failed_versions,false_positive,false_negative
imagemagick,CVE-2016-10065,ImportGrayQuantum,3,3,0,0,0,3,,,
imagemagick,CVE-2017-14174,ReadPSDLayersInternal,1,0,1,0,3,4,,,7.0.7-1;7.0.7-2;7.0.7-3
imagemagick,CVE-2019-10649,SVGEndElement,3,3,0,0,0,3,,,
imagemagick,CVE-2019-19949,Magick_png_write_raw_profile,0,0,0,0,0,6,7.0.8-42;7.0.8-41;7.0.8-40;7.0.8-43;7.0.8-44;7.0.8-45,,
imagemagick,CVE-2020-27774,ApplyEvaluateOperator,3,3,0,3,0,6,,7.0.8-68;7.0.8-67;7.0.8-66,
imagemagick,CVE-2020-25667,TIFFGetProfiles,0,0,0,0,0,6,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,
imagemagick,CVE-2020-27753,PopRunlengthPacket,6,3,3,0,0,6,,,
imagemagick,CVE-2020-27753,PushRunlengthPacket,0,0,0,0,0,6,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,
imagemagick,CVE-2021-20311,WriteTHUMBNAILImage,3,3,0,3,0,6,,7.0.10-62;7.0.10-61;7.0.10-60,
imagemagick,CVE-2021-20313,WriteTHUMBNAILImage,3,3,0,3,0,6,,7.0.10-62;7.0.10-61;7.0.10-60,
imagemagick,CVE-2023-34153,ReadVIDEOImage,3,3,0,3,0,6,,7.1.0-1;7.1.0-2;7.1.0-0,
imagemagick,CVE-2023-5341,ReadBMPImage,3,3,0,3,0,6,,7.1.1-19;7.1.1-11;7.1.1-10,
